,temporal_1,temporal_2,temporal_3,temporal_4,temporal_5,temporal_6,temporal_7,temporal_8,temporal_9,temporal_10,message_transfer_time,thread_run_time,processor_utilization,input_waiting,label
0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8339010977600534,3.747935310826417,0.6015600029756448,1.3732790995901578,1
1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.488120898320691,4.286859808129494,0.5135341672340036,1.1307531051973458,1
2,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.34299795451998016,6.830566188960166,0.7821373294385106,2.107005388367269,1
3,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.7626376581961645,6.009477895248134,0.8870781975855404,0.6219723150898547,1
4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.1609802314883744,0.7048297949781201,0.002011920471588158,0.22283861843017416,1
5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.814636690108342,1.5747785907740697,0.9736269962839451,1.0980798753571575,1
6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5581414992813066,0.7055568692234615,0.3441207369729149,1.0219060341659025,1
7,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.7184052097710253,0.3459012575426679,0.3991273416721923,0.3615723092344929,1
8,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.3925515043905694,7.760049179450404,0.36768320044168246,2.5636868875391485,1
9,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.4401341466765256,8.509589076629858,0.8443633833288873,2.0044433643246244,1
10,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.231524683480565,4.1617783222611635,0.7367926389405031,0.07737349046870567,1
11,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.9564182822524363,9.688407845223875,0.1789108925947802,1.6204786713233552,0
12,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.893178166026127,8.63597702236331,0.4080935557579406,0.46140956085051543,1
13,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.442943394300233,8.603850438750797,0.002726731562018414,1.5336604102399884,1
14,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5943917660549616,3.6718439993293686,0.8031133212364646,2.313757678118849,1
15,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.9610913749132233,9.543471631043495,0.23628047621942638,1.2391608481951821,0
16,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.69933279382412,7.489298456338638,0.0830166902934224,1.7905946660576988,0
17,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.920490275542247,3.536924291077245,0.6607689686845281,1.639316787177591,1
18,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.547810143221876,8.888328939449607,0.21909560617157053,1.732817579274057,0
